Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 15:56:25.048,2024-05-28 15:56:25.067,2024-05-28 15:56:24.997,-,2024-05-28 15:56:25.000,0.0,51.31131364,9.47470776, 0.0
2024-05-28 15:56:26.046,2024-05-28 15:56:26.065,2024-05-28 15:56:25.994,-,2024-05-28 15:56:26.000,0.0,51.31131315,9.47470663, 0.0
2024-05-28 15:56:27.044,2024-05-28 15:56:27.063,2024-05-28 15:56:26.993,-,2024-05-28 15:56:27.000,0.0,51.31131242,9.47470702, 0.0
2024-05-28 15:56:28.045,2024-05-28 15:56:28.064,2024-05-28 15:56:27.993,-,2024-05-28 15:56:28.000,0.0,51.31131257,9.47470558, 0.0
2024-05-28 15:56:29.044,2024-05-28 15:56:29.062,2024-05-28 15:56:28.992,-,2024-05-28 15:56:29.000,0.0,51.31131178,9.47470376, 0.0
2024-05-28 15:56:30.043,2024-05-28 15:56:30.062,2024-05-28 15:56:29.992,-,2024-05-28 15:56:30.000,0.0,51.31131114,9.47470142, 0.0
2024-05-28 15:56:31.050,2024-05-28 15:56:31.068,2024-05-28 15:56:30.998,-,2024-05-28 15:56:31.000,0.0,51.31130958,9.47469818, 0.0
2024-05-28 15:56:32.049,2024-05-28 15:56:32.068,2024-05-28 15:56:31.997,-,2024-05-28 15:56:32.000,0.34,51.31131106,9.47469254, 334.6
2024-05-28 15:56:33.048,2024-05-28 15:56:33.067,2024-05-28 15:56:32.996,-,2024-05-28 15:56:33.000,0.96,51.31131717,9.47468764, 359.999
2024-05-28 15:56:34.052,2024-05-28 15:56:34.071,2024-05-28 15:56:34.000,-,2024-05-28 15:56:34.000,1.82,51.31133009,9.474684, 0.3
2024-05-28 15:56:35.048,2024-05-28 15:56:35.067,2024-05-28 15:56:34.996,-,2024-05-28 15:56:35.000,1.45,51.31134428,9.47467818, 3.9
2024-05-28 15:56:36.044,2024-05-28 15:56:36.063,2024-05-28 15:56:35.992,-,2024-05-28 15:56:36.000,1.61,51.31135707,9.47467286, 2.6
2024-05-28 15:56:37.049,2024-05-28 15:56:37.068,2024-05-28 15:56:36.997,-,2024-05-28 15:56:37.000,1.37,51.31136947,9.47466813, 2.7
2024-05-28 15:56:38.049,2024-05-28 15:56:38.067,2024-05-28 15:56:37.996,-,2024-05-28 15:56:38.000,1.47,51.31138143,9.47466516, 4.6
2024-05-28 15:56:39.056,2024-05-28 15:56:39.075,2024-05-28 15:56:39.004,-,2024-05-28 15:56:39.000,1.2,51.31139302,9.47466195, 4.5
2024-05-28 15:56:40.051,2024-05-28 15:56:40.070,2024-05-28 15:56:39.999,-,2024-05-28 15:56:40.000,1.4,51.31140439,9.47466017, 5.2
2024-05-28 15:56:41.046,2024-05-28 15:56:41.064,2024-05-28 15:56:40.994,-,2024-05-28 15:56:41.000,1.23,51.31141673,9.4746563, 4.8
2024-05-28 15:56:42.051,2024-05-28 15:56:42.070,2024-05-28 15:56:41.999,-,2024-05-28 15:56:42.000,1.34,51.31142971,9.47465505, 4.9
2024-05-28 15:56:43.049,2024-05-28 15:56:43.068,2024-05-28 15:56:42.997,-,2024-05-28 15:56:43.000,1.3,51.31144279,9.47465295, 4.9
2024-05-28 15:56:44.046,2024-05-28 15:56:44.065,2024-05-28 15:56:43.994,-,2024-05-28 15:56:44.000,1.33,51.31145528,9.47464979, 358.5
2024-05-28 15:56:45.047,2024-05-28 15:56:45.066,2024-05-28 15:56:44.995,-,2024-05-28 15:56:45.000,1.51,51.31146778,9.47464262, 343.3
2024-05-28 15:56:46.046,2024-05-28 15:56:46.065,2024-05-28 15:56:45.995,-,2024-05-28 15:56:46.000,2.17,51.31148461,9.47463626, 350.8
2024-05-28 15:56:47.046,2024-05-28 15:56:47.064,2024-05-28 15:56:46.994,-,2024-05-28 15:56:47.000,0.66,51.31149571,9.47463424, 4.9
2024-05-28 15:56:48.048,2024-05-28 15:56:48.067,2024-05-28 15:56:47.996,-,2024-05-28 15:56:48.000,0.62,51.31150006,9.47463765, 4.9
2024-05-28 15:56:49.051,2024-05-28 15:56:49.070,2024-05-28 15:56:48.999,-,2024-05-28 15:56:49.000,0.51,51.31150331,9.47463953, 4.9
2024-05-28 15:56:50.051,2024-05-28 15:56:50.070,2024-05-28 15:56:49.999,-,2024-05-28 15:56:50.000,0.5,51.31150697,9.474642, 4.9
2024-05-28 15:56:51.046,2024-05-28 15:56:51.065,2024-05-28 15:56:50.995,-,2024-05-28 15:56:51.000,0.88,51.31151431,9.47464247, 4.9
