Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 16:11:14.047,2024-05-28 16:11:14.066,2024-05-28 16:11:13.996,-,2024-05-28 16:11:14.000,0.0,51.3113202,9.47478858, 0.0
2024-05-28 16:11:15.051,2024-05-28 16:11:15.070,2024-05-28 16:11:15.000,-,2024-05-28 16:11:15.000,0.0,51.31132062,9.47478776, 0.0
2024-05-28 16:11:16.052,2024-05-28 16:11:16.070,2024-05-28 16:11:16.000,-,2024-05-28 16:11:16.000,0.0,51.31132098,9.47478852, 0.0
2024-05-28 16:11:17.045,2024-05-28 16:11:17.064,2024-05-28 16:11:16.993,-,2024-05-28 16:11:17.000,0.0,51.31132086,9.47479103, 0.0
2024-05-28 16:11:18.044,2024-05-28 16:11:18.062,2024-05-28 16:11:17.991,-,2024-05-28 16:11:18.000,0.0,51.31131981,9.47479435, 0.0
2024-05-28 16:11:19.052,2024-05-28 16:11:19.071,2024-05-28 16:11:19.000,-,2024-05-28 16:11:19.000,0.23,51.31131313,9.47480042, 178.5
2024-05-28 16:11:20.048,2024-05-28 16:11:20.067,2024-05-28 16:11:19.996,-,2024-05-28 16:11:20.000,0.21,51.31130843,9.47480308, 243.2
2024-05-28 16:11:21.049,2024-05-28 16:11:21.068,2024-05-28 16:11:20.998,-,2024-05-28 16:11:21.000,0.0,51.31129179,9.47480645, 0.0
2024-05-28 16:11:22.048,2024-05-28 16:11:22.066,2024-05-28 16:11:21.996,-,2024-05-28 16:11:22.000,0.0,51.31128287,9.47480708, 0.0
2024-05-28 16:11:23.045,2024-05-28 16:11:23.064,2024-05-28 16:11:22.993,-,2024-05-28 16:11:23.000,0.18,51.31127915,9.47480706, 206.6
2024-05-28 16:11:24.046,2024-05-28 16:11:24.064,2024-05-28 16:11:23.994,-,2024-05-28 16:11:24.000,0.0,51.31127682,9.47480551, 0.0
2024-05-28 16:11:25.045,2024-05-28 16:11:25.063,2024-05-28 16:11:24.993,-,2024-05-28 16:11:25.000,0.0,51.31127433,9.47480425, 0.0
2024-05-28 16:11:26.051,2024-05-28 16:11:26.069,2024-05-28 16:11:25.999,-,2024-05-28 16:11:26.000,0.0,51.31127274,9.47480476, 0.0
2024-05-28 16:11:27.049,2024-05-28 16:11:27.067,2024-05-28 16:11:26.997,-,2024-05-28 16:11:27.000,0.0,51.31127101,9.47480574, 0.0
2024-05-28 16:11:28.049,2024-05-28 16:11:28.068,2024-05-28 16:11:27.997,-,2024-05-28 16:11:28.000,0.0,51.31127007,9.47480477, 0.0
2024-05-28 16:11:29.050,2024-05-28 16:11:29.069,2024-05-28 16:11:28.998,-,2024-05-28 16:11:29.000,0.0,51.31126738,9.47480126, 0.0
2024-05-28 16:11:30.049,2024-05-28 16:11:30.068,2024-05-28 16:11:29.997,-,2024-05-28 16:11:30.000,0.0,51.31126745,9.47479433, 0.0
2024-05-28 16:11:31.050,2024-05-28 16:11:31.068,2024-05-28 16:11:30.998,-,2024-05-28 16:11:31.000,0.0,51.31126804,9.47478846, 0.0
2024-05-28 16:11:32.050,2024-05-28 16:11:32.069,2024-05-28 16:11:31.999,-,2024-05-28 16:11:32.000,0.29,51.31126968,9.47478609, 355.7
2024-05-28 16:11:33.049,2024-05-28 16:11:33.068,2024-05-28 16:11:32.998,-,2024-05-28 16:11:33.000,0.83,51.31127765,9.4747817, 10.6
2024-05-28 16:11:34.048,2024-05-28 16:11:34.067,2024-05-28 16:11:33.996,-,2024-05-28 16:11:34.000,1.27,51.31129015,9.47477916, 6.9
2024-05-28 16:11:35.051,2024-05-28 16:11:35.070,2024-05-28 16:11:35.000,-,2024-05-28 16:11:35.000,1.33,51.31130408,9.47477686, 6.7
2024-05-28 16:11:36.047,2024-05-28 16:11:36.065,2024-05-28 16:11:35.995,-,2024-05-28 16:11:36.000,1.59,51.31131891,9.47477489, 6.7
2024-05-28 16:11:37.045,2024-05-28 16:11:37.064,2024-05-28 16:11:36.993,-,2024-05-28 16:11:37.000,1.26,51.31133259,9.47477288, 6.6
2024-05-28 16:11:38.049,2024-05-28 16:11:38.068,2024-05-28 16:11:37.998,-,2024-05-28 16:11:38.000,1.03,51.31134336,9.47476748, 6.4
2024-05-28 16:11:39.053,2024-05-28 16:11:39.071,2024-05-28 16:11:39.001,-,2024-05-28 16:11:39.000,1.46,51.31135623,9.47476298, 19.3
2024-05-28 16:11:40.046,2024-05-28 16:11:40.064,2024-05-28 16:11:39.995,-,2024-05-28 16:11:40.000,2.03,51.31137344,9.47476469, 19.6
2024-05-28 16:11:41.051,2024-05-28 16:11:41.070,2024-05-28 16:11:40.999,-,2024-05-28 16:11:41.000,1.65,51.31139198,9.47476557, 7.6
2024-05-28 16:11:42.051,2024-05-28 16:11:42.069,2024-05-28 16:11:41.999,-,2024-05-28 16:11:42.000,1.5,51.31140847,9.47476417, 7.4
2024-05-28 16:11:43.046,2024-05-28 16:11:43.065,2024-05-28 16:11:42.996,-,2024-05-28 16:11:43.000,1.65,51.31142503,9.47476013, 6.0
2024-05-28 16:11:44.049,2024-05-28 16:11:44.068,2024-05-28 16:11:43.997,-,2024-05-28 16:11:44.000,1.67,51.3114416,9.47475602, 5.7
2024-05-28 16:11:45.048,2024-05-28 16:11:45.066,2024-05-28 16:11:44.997,-,2024-05-28 16:11:45.000,1.46,51.31145675,9.47475372, 6.4
2024-05-28 16:11:46.045,2024-05-28 16:11:46.064,2024-05-28 16:11:45.993,-,2024-05-28 16:11:46.000,1.24,51.31146866,9.47475161, 6.2
2024-05-28 16:11:47.046,2024-05-28 16:11:47.065,2024-05-28 16:11:46.994,-,2024-05-28 16:11:47.000,0.86,51.31147683,9.47474766, 5.8
2024-05-28 16:11:48.049,2024-05-28 16:11:48.067,2024-05-28 16:11:47.997,-,2024-05-28 16:11:48.000,1.37,51.31148844,9.47474432, 5.7
2024-05-28 16:11:49.050,2024-05-28 16:11:49.068,2024-05-28 16:11:48.999,-,2024-05-28 16:11:49.000,1.02,51.3114995,9.47474208, 5.8
2024-05-28 16:11:50.048,2024-05-28 16:11:50.067,2024-05-28 16:11:49.996,-,2024-05-28 16:11:50.000,0.96,51.31150821,9.47473638, 2.9
2024-05-28 16:11:51.057,2024-05-28 16:11:51.076,2024-05-28 16:11:51.005,-,2024-05-28 16:11:51.000,1.82,51.31152018,9.47471688, 321.8
2024-05-28 16:11:52.058,2024-05-28 16:11:52.076,2024-05-28 16:11:52.006,-,2024-05-28 16:11:52.000,1.23,51.31153165,9.47469403, 316.9
2024-05-28 16:11:53.057,2024-05-28 16:11:53.075,2024-05-28 16:11:53.005,-,2024-05-28 16:11:53.000,0.49,51.31153818,9.47467899, 321.4
2024-05-28 16:11:54.052,2024-05-28 16:11:54.070,2024-05-28 16:11:54.000,-,2024-05-28 16:11:54.000,1.42,51.31154642,9.47466319, 319.5
2024-05-28 16:11:55.050,2024-05-28 16:11:55.069,2024-05-28 16:11:54.998,-,2024-05-28 16:11:55.000,1.09,51.31155843,9.47464599, 314.7
2024-05-28 16:11:56.052,2024-05-28 16:11:56.071,2024-05-28 16:11:56.000,-,2024-05-28 16:11:56.000,1.41,51.31156897,9.47462694, 308.3
2024-05-28 16:11:57.051,2024-05-28 16:11:57.070,2024-05-28 16:11:57.000,-,2024-05-28 16:11:57.000,1.56,51.311581,9.47460602, 305.2
2024-05-28 16:11:58.047,2024-05-28 16:11:58.066,2024-05-28 16:11:57.996,-,2024-05-28 16:11:58.000,1.19,51.31159333,9.47458854, 313.9
2024-05-28 16:11:59.050,2024-05-28 16:11:59.069,2024-05-28 16:11:58.999,-,2024-05-28 16:11:59.000,1.03,51.31160338,9.47457519, 301.5
2024-05-28 16:12:00.046,2024-05-28 16:12:00.065,2024-05-28 16:11:59.994,-,2024-05-28 16:12:00.000,1.31,51.31161018,9.47455758, 291.7
2024-05-28 16:12:01.048,2024-05-28 16:12:01.067,2024-05-28 16:12:00.996,-,2024-05-28 16:12:01.000,1.78,51.31161906,9.47453519, 301.7
2024-05-28 16:12:02.049,2024-05-28 16:12:02.068,2024-05-28 16:12:01.997,-,2024-05-28 16:12:02.000,1.63,51.31162765,9.4745117, 294.0
2024-05-28 16:12:03.050,2024-05-28 16:12:03.068,2024-05-28 16:12:02.998,-,2024-05-28 16:12:03.000,1.28,51.311632,9.4744901, 279.4
2024-05-28 16:12:04.049,2024-05-28 16:12:04.068,2024-05-28 16:12:03.997,-,2024-05-28 16:12:04.000,1.7,51.31163717,9.47446572, 289.5
2024-05-28 16:12:05.047,2024-05-28 16:12:05.066,2024-05-28 16:12:04.996,-,2024-05-28 16:12:05.000,1.78,51.31164376,9.47443828, 288.6
2024-05-28 16:12:06.050,2024-05-28 16:12:06.069,2024-05-28 16:12:05.998,-,2024-05-28 16:12:06.000,1.39,51.31165098,9.47441479, 306.1
2024-05-28 16:12:07.049,2024-05-28 16:12:07.067,2024-05-28 16:12:06.997,-,2024-05-28 16:12:07.000,1.16,51.31165818,9.47439625, 309.5
2024-05-28 16:12:08.053,2024-05-28 16:12:08.072,2024-05-28 16:12:08.001,-,2024-05-28 16:12:08.000,0.87,51.31166353,9.4743805, 294.8
2024-05-28 16:12:09.058,2024-05-28 16:12:09.076,2024-05-28 16:12:09.007,-,2024-05-28 16:12:09.000,2.09,51.3116685,9.47435537, 281.8
