Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 15:21:38.367,2024-05-28 15:21:38.385,2024-05-28 15:21:38.315,-,2024-05-28 15:21:38.314,0.16,51.31137522,9.47476247, 186.5
2024-05-28 15:21:39.360,2024-05-28 15:21:39.379,2024-05-28 15:21:39.308,-,2024-05-28 15:21:39.000,0.0,51.31126105,9.4745866, 0.0
2024-05-28 15:21:40.048,2024-05-28 15:21:40.066,2024-05-28 15:21:39.996,-,2024-05-28 15:21:40.000,0.0,51.3112541,9.47457036, 0.0
2024-05-28 15:21:41.050,2024-05-28 15:21:41.069,2024-05-28 15:21:40.999,-,2024-05-28 15:21:41.000,0.0,51.3112665,9.47457341, 0.0
2024-05-28 15:21:42.050,2024-05-28 15:21:42.069,2024-05-28 15:21:41.998,-,2024-05-28 15:21:42.000,0.0,51.31121382,9.47458294, 0.0
2024-05-28 15:21:43.050,2024-05-28 15:21:43.069,2024-05-28 15:21:42.998,-,2024-05-28 15:21:43.000,0.0,51.31120638,9.47459067, 0.0
2024-05-28 15:21:44.046,2024-05-28 15:21:44.065,2024-05-28 15:21:43.995,-,2024-05-28 15:21:44.000,0.0,51.31120144,9.4745891, 0.0
2024-05-28 15:21:45.052,2024-05-28 15:21:45.070,2024-05-28 15:21:45.000,-,2024-05-28 15:21:45.000,0.0,51.31120445,9.4745863, 0.0
2024-05-28 15:21:46.046,2024-05-28 15:21:46.065,2024-05-28 15:21:45.994,-,2024-05-28 15:21:46.000,0.0,51.31120854,9.47457976, 0.0
2024-05-28 15:21:47.048,2024-05-28 15:21:47.067,2024-05-28 15:21:46.996,-,2024-05-28 15:21:47.000,0.0,51.31121062,9.47458012, 0.0
2024-05-28 15:21:48.047,2024-05-28 15:21:48.065,2024-05-28 15:21:47.995,-,2024-05-28 15:21:48.000,0.0,51.31121537,9.47457634, 0.0
2024-05-28 15:21:49.052,2024-05-28 15:21:49.071,2024-05-28 15:21:49.001,-,2024-05-28 15:21:49.000,0.0,51.31121629,9.47458181, 0.0
2024-05-28 15:21:50.050,2024-05-28 15:21:50.069,2024-05-28 15:21:49.999,-,2024-05-28 15:21:50.000,0.22,51.31120447,9.47457251, 308.5
2024-05-28 15:21:51.050,2024-05-28 15:21:51.068,2024-05-28 15:21:50.998,-,2024-05-28 15:21:51.000,0.0,51.31120843,9.47457343, 0.0
2024-05-28 15:21:52.055,2024-05-28 15:21:52.073,2024-05-28 15:21:52.003,-,2024-05-28 15:21:52.000,0.72,51.31121862,9.4745821, 39.0
2024-05-28 15:21:53.054,2024-05-28 15:21:53.073,2024-05-28 15:21:53.002,-,2024-05-28 15:21:53.000,0.87,51.31123153,9.4745811, 30.6
2024-05-28 15:21:54.059,2024-05-28 15:21:54.077,2024-05-28 15:21:54.007,-,2024-05-28 15:21:54.000,1.14,51.31125825,9.47457602, 350.1
2024-05-28 15:21:55.053,2024-05-28 15:21:55.071,2024-05-28 15:21:55.001,-,2024-05-28 15:21:55.000,1.84,51.31127814,9.47458577, 17.4
2024-05-28 15:21:56.053,2024-05-28 15:21:56.072,2024-05-28 15:21:56.002,-,2024-05-28 15:21:56.000,0.97,51.31128524,9.47458366, 334.4
2024-05-28 15:21:57.059,2024-05-28 15:21:57.077,2024-05-28 15:21:57.007,-,2024-05-28 15:21:57.000,1.89,51.31130342,9.47458584, 2.2
2024-05-28 15:21:58.050,2024-05-28 15:21:58.069,2024-05-28 15:21:57.998,-,2024-05-28 15:21:58.000,1.35,51.31131856,9.47458699, 2.3
