Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 15:38:52.054,2024-05-28 15:38:52.073,2024-05-28 15:38:52.002,-,2024-05-28 15:38:52.000,0.0,51.31133811,9.47504186, 0.0
2024-05-28 15:38:53.052,2024-05-28 15:38:53.070,2024-05-28 15:38:53.000,-,2024-05-28 15:38:53.000,0.0,51.31128522,9.4749485, 0.0
2024-05-28 15:38:54.052,2024-05-28 15:38:54.071,2024-05-28 15:38:54.000,-,2024-05-28 15:38:54.000,0.0,51.3112555,9.47486631, 0.0
2024-05-28 15:38:55.058,2024-05-28 15:38:55.077,2024-05-28 15:38:55.007,-,2024-05-28 15:38:55.000,0.0,51.31125909,9.47485877, 0.0
2024-05-28 15:38:56.059,2024-05-28 15:38:56.077,2024-05-28 15:38:56.007,-,2024-05-28 15:38:56.000,0.0,51.31125476,9.47483231, 0.0
2024-05-28 15:38:57.055,2024-05-28 15:38:57.073,2024-05-28 15:38:57.004,-,2024-05-28 15:38:57.000,0.0,51.31125626,9.47480359, 0.0
2024-05-28 15:38:58.049,2024-05-28 15:38:58.068,2024-05-28 15:38:57.997,-,2024-05-28 15:38:58.000,0.0,51.31124404,9.47477653, 0.0
2024-05-28 15:38:59.050,2024-05-28 15:38:59.069,2024-05-28 15:38:58.999,-,2024-05-28 15:38:59.000,0.0,51.31124007,9.4747662, 0.0
2024-05-28 15:39:00.047,2024-05-28 15:39:00.066,2024-05-28 15:38:59.997,-,2024-05-28 15:39:00.000,0.0,51.31123578,9.47475364, 0.0
2024-05-28 15:39:01.047,2024-05-28 15:39:01.066,2024-05-28 15:39:00.995,-,2024-05-28 15:39:01.000,0.0,51.3112351,9.4747508, 0.0
2024-05-28 15:39:02.049,2024-05-28 15:39:02.068,2024-05-28 15:39:01.997,-,2024-05-28 15:39:02.000,0.0,51.31123414,9.47474361, 0.0
2024-05-28 15:39:03.049,2024-05-28 15:39:03.067,2024-05-28 15:39:02.997,-,2024-05-28 15:39:03.000,0.0,51.31123336,9.47474007, 0.0
2024-05-28 15:39:04.051,2024-05-28 15:39:04.070,2024-05-28 15:39:03.999,-,2024-05-28 15:39:04.000,0.0,51.31123222,9.47473624, 0.0
2024-05-28 15:39:05.050,2024-05-28 15:39:05.068,2024-05-28 15:39:04.998,-,2024-05-28 15:39:05.000,0.19,51.31123439,9.47472705, 38.3
2024-05-28 15:39:06.049,2024-05-28 15:39:06.068,2024-05-28 15:39:05.997,-,2024-05-28 15:39:06.000,1.48,51.3112503,9.47470938, 356.3
2024-05-28 15:39:07.053,2024-05-28 15:39:07.071,2024-05-28 15:39:07.001,-,2024-05-28 15:39:07.000,1.73,51.31126347,9.4747031, 5.2
2024-05-28 15:39:08.054,2024-05-28 15:39:08.073,2024-05-28 15:39:08.003,-,2024-05-28 15:39:08.000,1.87,51.31127426,9.47469366, 4.8
2024-05-28 15:39:09.054,2024-05-28 15:39:09.073,2024-05-28 15:39:09.003,-,2024-05-28 15:39:09.000,1.45,51.31129571,9.47469929, 5.0
2024-05-28 15:39:10.051,2024-05-28 15:39:10.070,2024-05-28 15:39:10.000,-,2024-05-28 15:39:10.000,1.59,51.31131393,9.47469606, 9.4
2024-05-28 15:39:11.052,2024-05-28 15:39:11.071,2024-05-28 15:39:11.001,-,2024-05-28 15:39:11.000,1.36,51.31132782,9.47469699, 9.3
2024-05-28 15:39:12.049,2024-05-28 15:39:12.068,2024-05-28 15:39:11.997,-,2024-05-28 15:39:12.000,1.54,51.31134705,9.47469515, 7.7
2024-05-28 15:39:13.049,2024-05-28 15:39:13.068,2024-05-28 15:39:12.998,-,2024-05-28 15:39:13.000,1.7,51.3113655,9.47469632, 1.6
2024-05-28 15:39:14.048,2024-05-28 15:39:14.067,2024-05-28 15:39:13.996,-,2024-05-28 15:39:14.000,1.21,51.31138106,9.47470439, 2.0
2024-05-28 15:39:15.056,2024-05-28 15:39:15.075,2024-05-28 15:39:15.004,-,2024-05-28 15:39:15.000,0.99,51.31139294,9.47470207, 1.9
