Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 15:21:46.813,2024-05-28 15:21:46.830,2024-05-28 15:21:46.775,-,roughness_medium
2024-05-28 15:22:06.741,2024-05-28 15:22:06.758,2024-05-28 15:22:06.703,-,roughness_medium
2024-05-28 15:22:23.244,2024-05-28 15:22:23.261,2024-05-28 15:22:23.206,-,roughness_medium
2024-05-28 15:22:42.386,2024-05-28 15:22:42.402,2024-05-28 15:22:42.347,-,roughness_high
2024-05-28 15:23:07.820,2024-05-28 15:23:07.837,2024-05-28 15:23:07.782,-,roughness_high
2024-05-28 15:23:33.468,2024-05-28 15:23:33.485,2024-05-28 15:23:33.430,-,roughness_none
2024-05-28 15:24:14.676,2024-05-28 15:24:14.693,2024-05-28 15:24:14.638,-,roughness_none
2024-05-28 15:24:33.436,2024-05-28 15:24:33.453,2024-05-28 15:24:33.398,-,curb_low
2024-05-28 15:24:39.750,2024-05-28 15:24:39.766,2024-05-28 15:24:39.712,-,roughness_low
2024-05-28 15:24:50.371,2024-05-28 15:24:50.388,2024-05-28 15:24:50.333,-,curb_low
2024-05-28 15:24:55.684,2024-05-28 15:24:55.701,2024-05-28 15:24:55.646,-,roughness_high
2024-05-28 15:25:07.324,2024-05-28 15:25:07.341,2024-05-28 15:25:07.286,-,roughness_medium
2024-05-28 15:25:51.633,2024-05-28 15:25:51.649,2024-05-28 15:25:51.594,-,roughness_none
2024-05-28 15:26:02.883,2024-05-28 15:26:02.899,2024-05-28 15:26:02.845,-,roughness_none
2024-05-28 15:26:15.454,2024-05-28 15:26:15.471,2024-05-28 15:26:15.416,-,roughness_low
2024-05-28 15:26:28.387,2024-05-28 15:26:28.403,2024-05-28 15:26:28.349,-,curb_low
2024-05-28 15:26:35.937,2024-05-28 15:26:35.954,2024-05-28 15:26:35.899,-,curb_low
2024-05-28 15:26:42.180,2024-05-28 15:26:42.196,2024-05-28 15:26:42.142,-,curb_low
2024-05-28 15:26:50.927,2024-05-28 15:26:50.944,2024-05-28 15:26:50.889,-,curb_low
2024-05-28 15:26:59.896,2024-05-28 15:26:59.913,2024-05-28 15:26:59.858,-,curb_low
2024-05-28 15:27:12.936,2024-05-28 15:27:12.953,2024-05-28 15:27:12.898,-,curb_high
2024-05-28 15:27:22.921,2024-05-28 15:27:22.938,2024-05-28 15:27:22.883,-,roughness_low
2024-05-28 15:27:35.051,2024-05-28 15:27:35.067,2024-05-28 15:27:35.013,-,roughness_none
2024-05-28 15:28:55.068,2024-05-28 15:28:55.084,2024-05-28 15:28:55.030,-,roughness_high
2024-05-28 15:29:12.389,2024-05-28 15:29:12.405,2024-05-28 15:29:12.350,-,roughness_none
2024-05-28 15:30:25.820,2024-05-28 15:30:25.837,2024-05-28 15:30:25.782,-,roughness_high
2024-05-28 15:30:30.348,2024-05-28 15:30:30.365,2024-05-28 15:30:30.310,-,roughness_none
2024-05-28 15:30:51.231,2024-05-28 15:30:51.248,2024-05-28 15:30:51.193,-,roughness_low
2024-05-28 15:30:55.191,2024-05-28 15:30:55.208,2024-05-28 15:30:55.153,-,curb_high
2024-05-28 15:31:18.654,2024-05-28 15:31:18.671,2024-05-28 15:31:18.616,-,curb_low
2024-05-28 15:31:26.010,2024-05-28 15:31:26.027,2024-05-28 15:31:25.974,-,curb_low
2024-05-28 15:31:35.624,2024-05-28 15:31:35.640,2024-05-28 15:31:35.585,-,curb_low
2024-05-28 15:31:43.866,2024-05-28 15:31:43.883,2024-05-28 15:31:43.828,-,curb_low
2024-05-28 15:31:50.996,2024-05-28 15:31:51.013,2024-05-28 15:31:50.958,-,roughness_low
2024-05-28 15:31:56.332,2024-05-28 15:31:56.349,2024-05-28 15:31:56.294,-,curb_low
2024-05-28 15:32:04.212,2024-05-28 15:32:04.228,2024-05-28 15:32:04.174,-,roughness_none
2024-05-28 15:32:27.083,2024-05-28 15:32:27.100,2024-05-28 15:32:27.045,-,roughness_none
2024-05-28 15:32:49.984,2024-05-28 15:32:50.001,2024-05-28 15:32:49.946,-,roughness_low
2024-05-28 15:33:03.947,2024-05-28 15:33:03.964,2024-05-28 15:33:03.909,-,curb_low
2024-05-28 15:33:11.138,2024-05-28 15:33:11.155,2024-05-28 15:33:11.100,-,roughness_high
2024-05-28 15:33:24.857,2024-05-28 15:33:24.874,2024-05-28 15:33:24.819,-,curb_low
2024-05-28 15:33:29.512,2024-05-28 15:33:29.529,2024-05-28 15:33:29.474,-,roughness_low
2024-05-28 15:33:39.028,2024-05-28 15:33:39.045,2024-05-28 15:33:38.990,-,curb_none
2024-05-28 15:33:41.778,2024-05-28 15:33:41.795,2024-05-28 15:33:41.740,-,roughness_none
2024-05-28 15:33:45.128,2024-05-28 15:33:45.145,2024-05-28 15:33:45.090,-,curb_low
2024-05-28 15:34:17.496,2024-05-28 15:34:17.512,2024-05-28 15:34:17.457,-,roughness_none
2024-05-28 15:34:45.415,2024-05-28 15:34:45.432,2024-05-28 15:34:45.377,-,roughness_high
2024-05-28 15:35:16.886,2024-05-28 15:35:16.903,2024-05-28 15:35:16.848,-,roughness_high
2024-05-28 15:35:30.270,2024-05-28 15:35:30.287,2024-05-28 15:35:30.232,-,roughness_medium
2024-05-28 15:35:30.401,2024-05-28 15:35:30.418,2024-05-28 15:35:30.364,-,roughness_medium
2024-05-28 15:35:54.403,2024-05-28 15:35:54.420,2024-05-28 15:35:54.365,-,roughness_medium
