Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 16:24:54.209,2024-05-28 16:24:54.226,2024-05-28 16:24:54.171,-,roughness_medium
2024-05-28 16:25:13.628,2024-05-28 16:25:13.645,2024-05-28 16:25:13.590,-,roughness_high
2024-05-28 16:25:33.822,2024-05-28 16:25:33.839,2024-05-28 16:25:33.784,-,roughness_none
2024-05-28 16:25:47.644,2024-05-28 16:25:47.661,2024-05-28 16:25:47.606,-,curb_low
2024-05-28 16:25:57.316,2024-05-28 16:25:57.333,2024-05-28 16:25:57.278,-,curb_low
2024-05-28 16:25:58.904,2024-05-28 16:25:58.921,2024-05-28 16:25:58.866,-,roughness_none
2024-05-28 16:26:00.302,2024-05-28 16:26:00.319,2024-05-28 16:26:00.264,-,roughness_low
2024-05-28 16:26:05.426,2024-05-28 16:26:05.442,2024-05-28 16:26:05.388,-,roughness_high
2024-05-28 16:26:10.986,2024-05-28 16:26:11.003,2024-05-28 16:26:10.948,-,curb_low
2024-05-28 16:26:12.884,2024-05-28 16:26:12.901,2024-05-28 16:26:12.846,-,roughness_none
2024-05-28 16:26:15.022,2024-05-28 16:26:15.038,2024-05-28 16:26:14.984,-,curb_low
2024-05-28 16:26:16.628,2024-05-28 16:26:16.644,2024-05-28 16:26:16.589,-,roughness_low
2024-05-28 16:26:19.721,2024-05-28 16:26:19.738,2024-05-28 16:26:19.683,-,roughness_none
2024-05-28 16:26:36.080,2024-05-28 16:26:36.097,2024-05-28 16:26:36.042,-,roughness_low
2024-05-28 16:26:38.071,2024-05-28 16:26:38.088,2024-05-28 16:26:38.033,-,curb_low
2024-05-28 16:26:41.198,2024-05-28 16:26:41.215,2024-05-28 16:26:41.160,-,curb_low
2024-05-28 16:26:44.757,2024-05-28 16:26:44.774,2024-05-28 16:26:44.719,-,curb_low
2024-05-28 16:26:48.210,2024-05-28 16:26:48.227,2024-05-28 16:26:48.172,-,curb_low
2024-05-28 16:26:54.553,2024-05-28 16:26:54.570,2024-05-28 16:26:54.515,-,curb_high
2024-05-28 16:26:59.903,2024-05-28 16:26:59.919,2024-05-28 16:26:59.865,-,curb_high
2024-05-28 16:27:06.297,2024-05-28 16:27:06.314,2024-05-28 16:27:06.259,-,roughness_none
2024-05-28 16:27:22.352,2024-05-28 16:27:22.369,2024-05-28 16:27:22.314,-,roughness_high
2024-05-28 16:27:33.905,2024-05-28 16:27:33.922,2024-05-28 16:27:33.867,-,roughness_none
2024-05-28 16:27:43.182,2024-05-28 16:27:43.199,2024-05-28 16:27:43.144,-,roughness_high
2024-05-28 16:27:57.366,2024-05-28 16:27:57.382,2024-05-28 16:27:57.327,-,roughness_none
2024-05-28 16:28:08.516,2024-05-28 16:28:08.533,2024-05-28 16:28:08.478,-,curb_low
2024-05-28 16:28:11.695,2024-05-28 16:28:11.712,2024-05-28 16:28:11.657,-,dreppe

2024-05-28 16:28:22.935,2024-05-28 16:28:22.951,2024-05-28 16:28:22.897,-,roughness_none
2024-05-28 16:28:34.622,2024-05-28 16:28:34.638,2024-05-28 16:28:34.583,-,roughness_low
2024-05-28 16:28:37.491,2024-05-28 16:28:37.508,2024-05-28 16:28:37.453,-,curb_high
2024-05-28 16:28:42.912,2024-05-28 16:28:42.929,2024-05-28 16:28:42.874,-,curb_high
2024-05-28 16:28:48.085,2024-05-28 16:28:48.102,2024-05-28 16:28:48.047,-,curb_low
2024-05-28 16:28:53.122,2024-05-28 16:28:53.138,2024-05-28 16:28:53.083,-,curb_low
2024-05-28 16:28:59.041,2024-05-28 16:28:59.058,2024-05-28 16:28:59.003,-,curb_low
2024-05-28 16:29:03.049,2024-05-28 16:29:03.066,2024-05-28 16:29:03.011,-,curb_low
2024-05-28 16:29:03.368,2024-05-28 16:29:03.385,2024-05-28 16:29:03.330,-,curb_low
2024-05-28 16:29:08.002,2024-05-28 16:29:08.019,2024-05-28 16:29:07.964,-,roughness_none
2024-05-28 16:29:26.258,2024-05-28 16:29:26.275,2024-05-28 16:29:26.220,-,roughness_low
2024-05-28 16:29:31.273,2024-05-28 16:29:31.290,2024-05-28 16:29:31.235,-,curb_low
2024-05-28 16:29:33.982,2024-05-28 16:29:33.999,2024-05-28 16:29:33.944,-,roughness_high
2024-05-28 16:29:43.899,2024-05-28 16:29:43.915,2024-05-28 16:29:43.861,-,curb_low
2024-05-28 16:29:45.235,2024-05-28 16:29:45.252,2024-05-28 16:29:45.197,-,roughness_low
2024-05-28 16:29:50.068,2024-05-28 16:29:50.085,2024-05-28 16:29:50.030,-,roughness_none
2024-05-28 16:29:54.548,2024-05-28 16:29:54.564,2024-05-28 16:29:54.509,-,curb_low
2024-05-28 16:30:19.638,2024-05-28 16:30:19.655,2024-05-28 16:30:19.600,-,roughness_high
2024-05-28 16:30:41.753,2024-05-28 16:30:41.770,2024-05-28 16:30:41.715,-,roughness_medium
2024-05-28 16:30:59.438,2024-05-28 16:30:59.454,2024-05-28 16:30:59.400,-,roughness_medium
2024-05-28 16:31:22.603,2024-05-28 16:31:22.620,2024-05-28 16:31:22.565,-,roughness_high
2024-05-28 16:31:41.601,2024-05-28 16:31:41.617,2024-05-28 16:31:41.562,-,roughness_none
2024-05-28 16:31:57.841,2024-05-28 16:31:57.858,2024-05-28 16:31:57.803,-,curb_low
2024-05-28 16:32:05.001,2024-05-28 16:32:05.017,2024-05-28 16:32:04.963,-,curb_low
2024-05-28 16:32:07.181,2024-05-28 16:32:07.198,2024-05-28 16:32:07.143,-,roughness_none
2024-05-28 16:32:08.246,2024-05-28 16:32:08.262,2024-05-28 16:32:08.207,-,roughness_low
2024-05-28 16:32:13.340,2024-05-28 16:32:13.356,2024-05-28 16:32:13.302,-,roughness_high
2024-05-28 16:32:15.646,2024-05-28 16:32:15.662,2024-05-28 16:32:15.608,-,curb_low
2024-05-28 16:32:21.271,2024-05-28 16:32:21.288,2024-05-28 16:32:21.233,-,curb_low
2024-05-28 16:32:22.793,2024-05-28 16:32:22.810,2024-05-28 16:32:22.755,-,roughness_low
2024-05-28 16:32:28.171,2024-05-28 16:32:28.188,2024-05-28 16:32:28.133,-,roughness_none
2024-05-28 16:32:43.064,2024-05-28 16:32:43.081,2024-05-28 16:32:43.026,-,roughness_none
2024-05-28 16:32:45.054,2024-05-28 16:32:45.070,2024-05-28 16:32:45.016,-,roughness_low
2024-05-28 16:32:48.576,2024-05-28 16:32:48.593,2024-05-28 16:32:48.538,-,roughness_low
2024-05-28 16:32:50.219,2024-05-28 16:32:50.236,2024-05-28 16:32:50.181,-,curb_low
2024-05-28 16:32:56.069,2024-05-28 16:32:56.086,2024-05-28 16:32:56.031,-,curb_low
2024-05-28 16:32:58.526,2024-05-28 16:32:58.543,2024-05-28 16:32:58.488,-,curb_low
2024-05-28 16:33:01.786,2024-05-28 16:33:01.802,2024-05-28 16:33:01.748,-,curb_low
2024-05-28 16:33:05.689,2024-05-28 16:33:05.705,2024-05-28 16:33:05.651,-,curb_high
2024-05-28 16:33:10.530,2024-05-28 16:33:10.547,2024-05-28 16:33:10.492,-,curb_high
2024-05-28 16:33:16.963,2024-05-28 16:33:16.979,2024-05-28 16:33:16.925,-,roughness_none
2024-05-28 16:33:34.805,2024-05-28 16:33:34.822,2024-05-28 16:33:34.767,-,roughness_none
2024-05-28 16:33:36.396,2024-05-28 16:33:36.413,2024-05-28 16:33:36.358,-,roughness_high
2024-05-28 16:33:47.674,2024-05-28 16:33:47.691,2024-05-28 16:33:47.636,-,roughness_none
2024-05-28 16:34:07.354,2024-05-28 16:34:07.371,2024-05-28 16:34:07.316,-,curb_low
2024-05-28 16:34:12.556,2024-05-28 16:34:12.572,2024-05-28 16:34:12.518,-,dreppe

2024-05-28 16:34:21.997,2024-05-28 16:34:22.014,2024-05-28 16:34:21.959,-,curb_high
