Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 15:56:26.041,2024-05-28 15:56:26.058,2024-05-28 15:56:26.003,-,2024-05-28 15:56:26.000,0.0,51.31139599,9.47480125, 0.0
2024-05-28 15:56:27.042,2024-05-28 15:56:27.059,2024-05-28 15:56:27.004,-,2024-05-28 15:56:27.000,0.0,51.31138192,9.47481065, 0.0
2024-05-28 15:56:28.041,2024-05-28 15:56:28.057,2024-05-28 15:56:28.003,-,2024-05-28 15:56:28.000,0.0,51.31136373,9.47478263, 0.0
2024-05-28 15:56:29.049,2024-05-28 15:56:29.066,2024-05-28 15:56:29.011,-,2024-05-28 15:56:29.000,0.0,51.31136119,9.47477312, 0.0
2024-05-28 15:56:30.044,2024-05-28 15:56:30.061,2024-05-28 15:56:30.006,-,2024-05-28 15:56:30.000,0.0,51.31134727,9.47475412, 0.0
2024-05-28 15:56:31.050,2024-05-28 15:56:31.067,2024-05-28 15:56:31.012,-,2024-05-28 15:56:31.000,0.0,51.31135164,9.4747465, 0.0
2024-05-28 15:56:32.040,2024-05-28 15:56:32.057,2024-05-28 15:56:32.003,-,2024-05-28 15:56:32.000,0.19,51.31136972,9.47475721, 44.6
2024-05-28 15:56:33.041,2024-05-28 15:56:33.058,2024-05-28 15:56:33.003,-,2024-05-28 15:56:33.000,0.81,51.31138317,9.47477494, 358.9
2024-05-28 15:56:34.048,2024-05-28 15:56:34.065,2024-05-28 15:56:34.010,-,2024-05-28 15:56:34.000,0.98,51.31140153,9.47479452, 359.0
2024-05-28 15:56:35.043,2024-05-28 15:56:35.060,2024-05-28 15:56:35.006,-,2024-05-28 15:56:35.000,1.87,51.31142086,9.47479768, 359.0
2024-05-28 15:56:36.047,2024-05-28 15:56:36.064,2024-05-28 15:56:36.009,-,2024-05-28 15:56:36.000,1.4,51.31142436,9.47481383, 8.3
2024-05-28 15:56:37.044,2024-05-28 15:56:37.061,2024-05-28 15:56:37.007,-,2024-05-28 15:56:37.000,1.62,51.31143942,9.47482653, 8.4
2024-05-28 15:56:38.042,2024-05-28 15:56:38.058,2024-05-28 15:56:38.005,-,2024-05-28 15:56:38.000,1.41,51.31144864,9.47482791, 7.0
2024-05-28 15:56:39.048,2024-05-28 15:56:39.065,2024-05-28 15:56:39.010,-,2024-05-28 15:56:39.000,1.67,51.31146772,9.47483053, 7.0
2024-05-28 15:56:40.049,2024-05-28 15:56:40.066,2024-05-28 15:56:40.011,-,2024-05-28 15:56:40.000,0.69,51.31146714,9.47483346, 7.0
2024-05-28 15:56:41.038,2024-05-28 15:56:41.055,2024-05-28 15:56:41.000,-,2024-05-28 15:56:41.000,1.39,51.31148142,9.47483342, 7.0
2024-05-28 15:56:42.047,2024-05-28 15:56:42.064,2024-05-28 15:56:42.009,-,2024-05-28 15:56:42.000,0.82,51.31148453,9.47483544, 4.9
2024-05-28 15:56:43.051,2024-05-28 15:56:43.068,2024-05-28 15:56:43.013,-,2024-05-28 15:56:43.000,1.27,51.31149408,9.47483647, 4.9
2024-05-28 15:56:44.043,2024-05-28 15:56:44.060,2024-05-28 15:56:44.005,-,2024-05-28 15:56:44.000,1.8,51.31150632,9.47483284, 4.9
2024-05-28 15:56:45.039,2024-05-28 15:56:45.056,2024-05-28 15:56:45.001,-,2024-05-28 15:56:45.000,1.21,51.31151515,9.47482219, 4.9
2024-05-28 15:56:46.048,2024-05-28 15:56:46.065,2024-05-28 15:56:46.010,-,2024-05-28 15:56:46.000,1.11,51.31152118,9.47480882, 4.9
2024-05-28 15:56:47.043,2024-05-28 15:56:47.060,2024-05-28 15:56:47.006,-,2024-05-28 15:56:47.000,0.88,51.31152626,9.47479698, 4.8
