Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 16:11:18.044,2024-05-28 16:11:18.060,2024-05-28 16:11:18.006,-,2024-05-28 16:11:18.000,0.0,51.3113905,9.47478139, 0.0
2024-05-28 16:11:19.045,2024-05-28 16:11:19.062,2024-05-28 16:11:19.007,-,2024-05-28 16:11:19.000,0.56,51.31139736,9.47476689, 327.2
2024-05-28 16:11:20.038,2024-05-28 16:11:20.055,2024-05-28 16:11:20.000,-,2024-05-28 16:11:20.000,0.0,51.31139267,9.4747523, 0.0
2024-05-28 16:11:21.056,2024-05-28 16:11:21.073,2024-05-28 16:11:21.019,-,2024-05-28 16:11:21.000,0.0,51.31138069,9.4747323, 0.0
2024-05-28 16:11:22.048,2024-05-28 16:11:22.065,2024-05-28 16:11:22.010,-,2024-05-28 16:11:22.000,0.61,51.31136733,9.47473489, 1.9
2024-05-28 16:11:23.039,2024-05-28 16:11:23.055,2024-05-28 16:11:23.001,-,2024-05-28 16:11:23.000,0.22,51.31136707,9.47472858, 18.6
2024-05-28 16:11:24.046,2024-05-28 16:11:24.063,2024-05-28 16:11:24.010,-,2024-05-28 16:11:24.000,0.0,51.31136491,9.47471729, 0.0
2024-05-28 16:11:25.040,2024-05-28 16:11:25.057,2024-05-28 16:11:25.002,-,2024-05-28 16:11:25.000,0.0,51.31136814,9.4747084, 0.0
2024-05-28 16:11:26.056,2024-05-28 16:11:26.073,2024-05-28 16:11:26.019,-,2024-05-28 16:11:26.000,0.0,51.31137441,9.4747034, 0.0
2024-05-28 16:11:27.037,2024-05-28 16:11:27.053,2024-05-28 16:11:26.999,-,2024-05-28 16:11:27.000,0.0,51.31137754,9.47470121, 0.0
2024-05-28 16:11:28.044,2024-05-28 16:11:28.061,2024-05-28 16:11:28.006,-,2024-05-28 16:11:28.000,0.0,51.31136802,9.47469923, 0.0
2024-05-28 16:11:29.040,2024-05-28 16:11:29.057,2024-05-28 16:11:29.002,-,2024-05-28 16:11:29.000,0.0,51.31135584,9.47469448, 0.0
2024-05-28 16:11:30.044,2024-05-28 16:11:30.061,2024-05-28 16:11:30.006,-,2024-05-28 16:11:30.000,0.0,51.31135466,9.47469668, 0.0
2024-05-28 16:11:31.049,2024-05-28 16:11:31.065,2024-05-28 16:11:31.011,-,2024-05-28 16:11:31.000,0.0,51.31135562,9.47469345, 0.0
2024-05-28 16:11:32.047,2024-05-28 16:11:32.063,2024-05-28 16:11:32.009,-,2024-05-28 16:11:32.000,0.0,51.31135575,9.47469714, 0.0
2024-05-28 16:11:33.047,2024-05-28 16:11:33.064,2024-05-28 16:11:33.009,-,2024-05-28 16:11:33.000,0.83,51.3113689,9.47470448, 12.4
2024-05-28 16:11:34.037,2024-05-28 16:11:34.054,2024-05-28 16:11:33.999,-,2024-05-28 16:11:34.000,1.08,51.31137236,9.47470909, 5.3
2024-05-28 16:11:35.039,2024-05-28 16:11:35.055,2024-05-28 16:11:35.001,-,2024-05-28 16:11:35.000,1.15,51.31138501,9.47471729, 5.4
2024-05-28 16:11:36.035,2024-05-28 16:11:36.052,2024-05-28 16:11:35.997,-,2024-05-28 16:11:36.000,0.69,51.31139265,9.47472171, 5.5
2024-05-28 16:11:37.043,2024-05-28 16:11:37.060,2024-05-28 16:11:37.005,-,2024-05-28 16:11:37.000,0.89,51.3114036,9.47473264, 5.6
2024-05-28 16:11:38.040,2024-05-28 16:11:38.057,2024-05-28 16:11:38.003,-,2024-05-28 16:11:38.000,1.45,51.31141723,9.47475093, 5.8
2024-05-28 16:11:39.039,2024-05-28 16:11:39.055,2024-05-28 16:11:39.001,-,2024-05-28 16:11:39.000,1.77,51.3114305,9.47476232, 34.7
2024-05-28 16:11:40.038,2024-05-28 16:11:40.055,2024-05-28 16:11:40.000,-,2024-05-28 16:11:40.000,1.5,51.3114451,9.47477282, 34.5
2024-05-28 16:11:41.035,2024-05-28 16:11:41.052,2024-05-28 16:11:40.997,-,2024-05-28 16:11:41.000,0.72,51.31145525,9.4747794, 34.8
2024-05-28 16:11:42.040,2024-05-28 16:11:42.056,2024-05-28 16:11:42.002,-,2024-05-28 16:11:42.000,1.86,51.3114679,9.47478464, 6.0
2024-05-28 16:11:43.048,2024-05-28 16:11:43.064,2024-05-28 16:11:43.010,-,2024-05-28 16:11:43.000,0.92,51.31148054,9.47478721, 6.1
2024-05-28 16:11:44.044,2024-05-28 16:11:44.061,2024-05-28 16:11:44.006,-,2024-05-28 16:11:44.000,1.49,51.31149168,9.47478568, 347.6
2024-05-28 16:11:45.044,2024-05-28 16:11:45.061,2024-05-28 16:11:45.006,-,2024-05-28 16:11:45.000,1.08,51.31150346,9.47478264, 346.5
2024-05-28 16:11:46.054,2024-05-28 16:11:46.071,2024-05-28 16:11:46.017,-,2024-05-28 16:11:46.000,0.75,51.311511,9.47477711, 347.7
2024-05-28 16:11:47.054,2024-05-28 16:11:47.071,2024-05-28 16:11:47.016,-,2024-05-28 16:11:47.000,1.62,51.31152017,9.47476527, 325.7
2024-05-28 16:11:48.047,2024-05-28 16:11:48.064,2024-05-28 16:11:48.010,-,2024-05-28 16:11:48.000,0.94,51.31152996,9.47475396, 332.2
2024-05-28 16:11:49.046,2024-05-28 16:11:49.062,2024-05-28 16:11:49.008,-,2024-05-28 16:11:49.000,1.11,51.31153801,9.47474478, 332.8
2024-05-28 16:11:50.048,2024-05-28 16:11:50.065,2024-05-28 16:11:50.010,-,2024-05-28 16:11:50.000,0.99,51.31154862,9.47473714, 340.1
2024-05-28 16:11:51.039,2024-05-28 16:11:51.056,2024-05-28 16:11:51.001,-,2024-05-28 16:11:51.000,2.34,51.31156297,9.47471997, 324.1
2024-05-28 16:11:52.057,2024-05-28 16:11:52.074,2024-05-28 16:11:52.019,-,2024-05-28 16:11:52.000,2.14,51.31158019,9.47469618, 319.8
2024-05-28 16:11:53.046,2024-05-28 16:11:53.063,2024-05-28 16:11:53.008,-,2024-05-28 16:11:53.000,1.69,51.31159465,9.47467469, 320.4
2024-05-28 16:11:54.049,2024-05-28 16:11:54.066,2024-05-28 16:11:54.012,-,2024-05-28 16:11:54.000,2.08,51.31160919,9.47465396, 322.0
2024-05-28 16:11:55.041,2024-05-28 16:11:55.058,2024-05-28 16:11:55.003,-,2024-05-28 16:11:55.000,1.63,51.31162317,9.47463296, 320.4
2024-05-28 16:11:56.036,2024-05-28 16:11:56.053,2024-05-28 16:11:56.000,-,2024-05-28 16:11:56.000,2.14,51.31163642,9.47460951, 313.0
2024-05-28 16:11:57.048,2024-05-28 16:11:57.065,2024-05-28 16:11:57.010,-,2024-05-28 16:11:57.000,1.4,51.31164792,9.47458617, 312.9
2024-05-28 16:11:58.049,2024-05-28 16:11:58.065,2024-05-28 16:11:58.011,-,2024-05-28 16:11:58.000,1.43,51.31165646,9.47456438, 312.9
