Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 16:11:26.132,2024-05-28 16:11:26.149,2024-05-28 16:11:26.094,-,roughness_medium
2024-05-28 16:12:22.122,2024-05-28 16:12:22.139,2024-05-28 16:12:22.084,-,roughness_high
2024-05-28 16:13:16.628,2024-05-28 16:13:16.645,2024-05-28 16:13:16.590,-,roughness_none
2024-05-28 16:14:15.029,2024-05-28 16:14:15.046,2024-05-28 16:14:14.991,-,curb_low
2024-05-28 16:14:20.518,2024-05-28 16:14:20.534,2024-05-28 16:14:20.480,-,roughness_low
2024-05-28 16:14:37.963,2024-05-28 16:14:37.980,2024-05-28 16:14:37.925,-,curb_low
2024-05-28 16:14:41.194,2024-05-28 16:14:41.211,2024-05-28 16:14:41.156,-,roughness_high
2024-05-28 16:14:50.373,2024-05-28 16:14:50.390,2024-05-28 16:14:50.335,-,roughness_medium
2024-05-28 16:14:53.993,2024-05-28 16:14:54.010,2024-05-28 16:14:53.955,-,curb_low
2024-05-28 16:14:57.043,2024-05-28 16:14:57.060,2024-05-28 16:14:57.005,-,roughness_medium
2024-05-28 16:15:07.456,2024-05-28 16:15:07.472,2024-05-28 16:15:07.418,-,roughness_none
2024-05-28 16:15:28.283,2024-05-28 16:15:28.300,2024-05-28 16:15:28.245,-,roughness_none
2024-05-28 16:15:40.167,2024-05-28 16:15:40.184,2024-05-28 16:15:40.129,-,roughness_none
2024-05-28 16:15:51.094,2024-05-28 16:15:51.111,2024-05-28 16:15:51.056,-,roughness_medium
2024-05-28 16:15:53.433,2024-05-28 16:15:53.450,2024-05-28 16:15:53.395,-,curb_low
2024-05-28 16:15:57.027,2024-05-28 16:15:57.044,2024-05-28 16:15:56.989,-,curb_low
2024-05-28 16:16:02.307,2024-05-28 16:16:02.323,2024-05-28 16:16:02.268,-,curb_low
2024-05-28 16:16:06.420,2024-05-28 16:16:06.437,2024-05-28 16:16:06.382,-,curb_low
2024-05-28 16:16:11.644,2024-05-28 16:16:11.660,2024-05-28 16:16:11.606,-,curb_low
2024-05-28 16:16:16.945,2024-05-28 16:16:16.961,2024-05-28 16:16:16.906,-,curb_low
2024-05-28 16:16:22.187,2024-05-28 16:16:22.204,2024-05-28 16:16:22.149,-,curb_low
2024-05-28 16:16:28.845,2024-05-28 16:16:28.862,2024-05-28 16:16:28.807,-,curb_low
2024-05-28 16:16:34.438,2024-05-28 16:16:34.455,2024-05-28 16:16:34.400,-,curb_low
2024-05-28 16:16:39.583,2024-05-28 16:16:39.600,2024-05-28 16:16:39.545,-,curb_low
2024-05-28 16:16:49.082,2024-05-28 16:16:49.099,2024-05-28 16:16:49.044,-,curb_high
2024-05-28 16:17:04.683,2024-05-28 16:17:04.700,2024-05-28 16:17:04.645,-,curb_high
2024-05-28 16:17:09.991,2024-05-28 16:17:10.008,2024-05-28 16:17:09.953,-,roughness_none
2024-05-28 16:17:17.555,2024-05-28 16:17:17.572,2024-05-28 16:17:17.517,-,roughness_high
2024-05-28 16:17:25.734,2024-05-28 16:17:25.751,2024-05-28 16:17:25.696,-,roughness_none
2024-05-28 16:17:54.473,2024-05-28 16:17:54.490,2024-05-28 16:17:54.435,-,roughness_none
2024-05-28 16:18:01.724,2024-05-28 16:18:01.741,2024-05-28 16:18:01.686,-,roughness_high
2024-05-28 16:18:19.459,2024-05-28 16:18:19.476,2024-05-28 16:18:19.421,-,roughness_none
2024-05-28 16:18:32.741,2024-05-28 16:18:32.757,2024-05-28 16:18:32.702,-,roughness_none
2024-05-28 16:19:00.964,2024-05-28 16:19:00.980,2024-05-28 16:19:00.926,-,curb_low
2024-05-28 16:19:08.158,2024-05-28 16:19:08.175,2024-05-28 16:19:08.120,-,roughness_low
2024-05-28 16:19:10.568,2024-05-28 16:19:10.584,2024-05-28 16:19:10.530,-,roughness_none
2024-05-28 16:19:55.443,2024-05-28 16:19:55.460,2024-05-28 16:19:55.405,-,roughness_none
2024-05-28 16:20:05.306,2024-05-28 16:20:05.323,2024-05-28 16:20:05.268,-,roughness_high
2024-05-28 16:20:13.307,2024-05-28 16:20:13.323,2024-05-28 16:20:13.269,-,roughness_high
2024-05-28 16:20:45.795,2024-05-28 16:20:45.811,2024-05-28 16:20:45.757,-,roughness_high
2024-05-28 16:20:56.985,2024-05-28 16:20:57.001,2024-05-28 16:20:56.946,-,roughness_medium
2024-05-28 16:21:19.110,2024-05-28 16:21:19.127,2024-05-28 16:21:19.072,-,roughness_medium
