Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 15:21:43.039,2024-05-28 15:21:43.056,2024-05-28 15:21:43.002,-,2024-05-28 15:21:43.000,0.0,51.31130632,9.47481578, 0.0
2024-05-28 15:21:44.041,2024-05-28 15:21:44.058,2024-05-28 15:21:44.003,-,2024-05-28 15:21:44.000,0.0,51.31132122,9.4748143, 0.0
2024-05-28 15:21:45.033,2024-05-28 15:21:45.050,2024-05-28 15:21:44.995,-,2024-05-28 15:21:45.000,0.59,51.31133684,9.47477115, 298.5
2024-05-28 15:21:46.044,2024-05-28 15:21:46.061,2024-05-28 15:21:46.007,-,2024-05-28 15:21:46.000,0.0,51.31127541,9.47479267, 0.0
2024-05-28 15:21:47.036,2024-05-28 15:21:47.053,2024-05-28 15:21:46.999,-,2024-05-28 15:21:47.000,0.0,51.31126661,9.47479677, 0.0
2024-05-28 15:21:48.045,2024-05-28 15:21:48.062,2024-05-28 15:21:48.009,-,2024-05-28 15:21:48.000,0.0,51.31125641,9.47479872, 0.0
2024-05-28 15:21:49.047,2024-05-28 15:21:49.064,2024-05-28 15:21:49.009,-,2024-05-28 15:21:49.000,0.0,51.31126067,9.47478796, 0.0
2024-05-28 15:21:50.036,2024-05-28 15:21:50.053,2024-05-28 15:21:49.999,-,2024-05-28 15:21:50.000,0.42,51.31126577,9.47478695, 27.4
2024-05-28 15:21:51.046,2024-05-28 15:21:51.063,2024-05-28 15:21:51.008,-,2024-05-28 15:21:51.000,0.68,51.31127251,9.47478956, 27.4
2024-05-28 15:21:52.042,2024-05-28 15:21:52.059,2024-05-28 15:21:52.004,-,2024-05-28 15:21:52.000,1.41,51.3112764,9.4748084, 31.8
2024-05-28 15:21:53.044,2024-05-28 15:21:53.060,2024-05-28 15:21:53.006,-,2024-05-28 15:21:53.000,1.13,51.31129111,9.47480472, 22.3
2024-05-28 15:21:54.043,2024-05-28 15:21:54.059,2024-05-28 15:21:54.005,-,2024-05-28 15:21:54.000,1.75,51.31132317,9.47481495, 13.0
2024-05-28 15:21:55.048,2024-05-28 15:21:55.065,2024-05-28 15:21:55.010,-,2024-05-28 15:21:55.000,1.05,51.31134446,9.47480947, 15.2
2024-05-28 15:21:56.041,2024-05-28 15:21:56.057,2024-05-28 15:21:56.003,-,2024-05-28 15:21:56.000,1.49,51.31136848,9.4748161, 4.1
2024-05-28 15:21:57.058,2024-05-28 15:21:57.075,2024-05-28 15:21:57.020,-,2024-05-28 15:21:57.000,1.36,51.31138759,9.47482422, 8.5
2024-05-28 15:21:58.049,2024-05-28 15:21:58.065,2024-05-28 15:21:58.011,-,2024-05-28 15:21:58.000,1.17,51.31140162,9.47482644, 3.6
2024-05-28 15:21:59.040,2024-05-28 15:21:59.057,2024-05-28 15:21:59.002,-,2024-05-28 15:21:59.000,1.58,51.3114143,9.47482888, 4.3
2024-05-28 15:22:00.043,2024-05-28 15:22:00.059,2024-05-28 15:22:00.005,-,2024-05-28 15:22:00.000,1.68,51.31142998,9.4748296, 3.1
2024-05-28 15:22:01.044,2024-05-28 15:22:01.061,2024-05-28 15:22:01.007,-,2024-05-28 15:22:01.000,1.63,51.31144537,9.47483299, 5.4
