Date,NTP,GNSS-Time,Serial-Time,Location-Time,Speed,Latitude,Longitude,Bearing
2024-05-28 16:24:50.035,2024-05-28 16:24:50.052,2024-05-28 16:24:49.997,-,2024-05-28 16:24:50.000,0.0,51.31141436,9.47479681, 0.0
2024-05-28 16:24:51.041,2024-05-28 16:24:51.058,2024-05-28 16:24:51.003,-,2024-05-28 16:24:51.000,0.0,51.31140274,9.47480906, 0.0
2024-05-28 16:24:52.040,2024-05-28 16:24:52.057,2024-05-28 16:24:52.002,-,2024-05-28 16:24:52.000,0.0,51.31140433,9.47481209, 0.0
2024-05-28 16:24:53.034,2024-05-28 16:24:53.051,2024-05-28 16:24:52.996,-,2024-05-28 16:24:53.000,0.0,51.31140665,9.47480037, 0.0
2024-05-28 16:24:54.041,2024-05-28 16:24:54.058,2024-05-28 16:24:54.003,-,2024-05-28 16:24:54.000,0.0,51.31141247,9.4748012, 0.0
2024-05-28 16:24:55.040,2024-05-28 16:24:55.057,2024-05-28 16:24:55.002,-,2024-05-28 16:24:55.000,0.0,51.31140484,9.47480144, 0.0
2024-05-28 16:24:56.033,2024-05-28 16:24:56.050,2024-05-28 16:24:55.996,-,2024-05-28 16:24:56.000,0.0,51.31140056,9.47480003, 0.0
2024-05-28 16:24:57.041,2024-05-28 16:24:57.058,2024-05-28 16:24:57.003,-,2024-05-28 16:24:57.000,0.87,51.31140167,9.4748056, 11.3
2024-05-28 16:24:58.047,2024-05-28 16:24:58.063,2024-05-28 16:24:58.009,-,2024-05-28 16:24:58.000,1.73,51.31139706,9.47480573, 6.1
2024-05-28 16:24:59.034,2024-05-28 16:24:59.051,2024-05-28 16:24:58.996,-,2024-05-28 16:24:59.000,5.21,51.31143322,9.47480731, 7.1
2024-05-28 16:25:00.033,2024-05-28 16:25:00.050,2024-05-28 16:24:59.995,-,2024-05-28 16:25:00.000,5.15,51.31147058,9.47480942, 9.8
2024-05-28 16:25:01.034,2024-05-28 16:25:01.051,2024-05-28 16:25:00.996,-,2024-05-28 16:25:01.000,5.42,51.31151424,9.47481158, 2.8
2024-05-28 16:25:02.051,2024-05-28 16:25:02.068,2024-05-28 16:25:02.013,-,2024-05-28 16:25:02.000,1.78,51.31152638,9.47479907, 4.9
2024-05-28 16:25:03.049,2024-05-28 16:25:03.066,2024-05-28 16:25:03.011,-,2024-05-28 16:25:03.000,1.86,51.31154067,9.47477275, 4.7
2024-05-28 16:25:04.037,2024-05-28 16:25:04.054,2024-05-28 16:25:03.999,-,2024-05-28 16:25:04.000,6.53,51.31158766,9.47467817, 308.3
2024-05-28 16:25:05.033,2024-05-28 16:25:05.050,2024-05-28 16:25:04.995,-,2024-05-28 16:25:05.000,6.37,51.31162226,9.47460369, 312.5
2024-05-28 16:25:06.036,2024-05-28 16:25:06.053,2024-05-28 16:25:05.998,-,2024-05-28 16:25:06.000,5.66,51.31164532,9.47452033, 295.6
2024-05-28 16:25:07.041,2024-05-28 16:25:07.057,2024-05-28 16:25:07.003,-,2024-05-28 16:25:07.000,5.46,51.31167865,9.47444432, 294.5
2024-05-28 16:25:08.036,2024-05-28 16:25:08.053,2024-05-28 16:25:07.998,-,2024-05-28 16:25:08.000,5.61,51.31170073,9.47436393, 287.3
2024-05-28 16:25:09.037,2024-05-28 16:25:09.054,2024-05-28 16:25:08.999,-,2024-05-28 16:25:09.000,5.23,51.3117217,9.47428218, 282.2
2024-05-28 16:25:10.034,2024-05-28 16:25:10.051,2024-05-28 16:25:09.996,-,2024-05-28 16:25:10.000,5.31,51.3117256,9.47420247, 272.8
2024-05-28 16:25:11.038,2024-05-28 16:25:11.055,2024-05-28 16:25:11.000,-,2024-05-28 16:25:11.000,5.03,51.31173273,9.47412412, 276.6
2024-05-28 16:25:12.037,2024-05-28 16:25:12.053,2024-05-28 16:25:11.999,-,2024-05-28 16:25:12.000,4.66,51.31174189,9.47405129, 276.7
2024-05-28 16:25:13.037,2024-05-28 16:25:13.054,2024-05-28 16:25:12.999,-,2024-05-28 16:25:13.000,4.98,51.31175123,9.47397918, 281.7
2024-05-28 16:25:14.034,2024-05-28 16:25:14.051,2024-05-28 16:25:13.996,-,2024-05-28 16:25:14.000,4.56,51.31175783,9.47391566, 284.9
2024-05-28 16:25:15.046,2024-05-28 16:25:15.062,2024-05-28 16:25:15.008,-,2024-05-28 16:25:15.000,3.88,51.31176468,9.47385362, 286.7
2024-05-28 16:25:16.033,2024-05-28 16:25:16.050,2024-05-28 16:25:15.995,-,2024-05-28 16:25:16.000,3.83,51.31177817,9.47379641, 288.8
2024-05-28 16:25:17.043,2024-05-28 16:25:17.060,2024-05-28 16:25:17.005,-,2024-05-28 16:25:17.000,4.46,51.31179495,9.47373256, 293.6
2024-05-28 16:25:18.032,2024-05-28 16:25:18.049,2024-05-28 16:25:17.995,-,2024-05-28 16:25:18.000,5.57,51.31182179,9.47366704, 303.2
2024-05-28 16:25:19.041,2024-05-28 16:25:19.057,2024-05-28 16:25:19.003,-,2024-05-28 16:25:19.000,5.31,51.31185098,9.47361194, 311.3
2024-05-28 16:25:20.036,2024-05-28 16:25:20.053,2024-05-28 16:25:19.998,-,2024-05-28 16:25:20.000,5.39,51.31186762,9.473538, 293.5
2024-05-28 16:25:21.033,2024-05-28 16:25:21.050,2024-05-28 16:25:20.996,-,2024-05-28 16:25:21.000,4.98,51.31187742,9.47346714, 285.2
2024-05-28 16:25:22.038,2024-05-28 16:25:22.054,2024-05-28 16:25:22.000,-,2024-05-28 16:25:22.000,5.15,51.31188244,9.47339386, 270.9
2024-05-28 16:25:23.043,2024-05-28 16:25:23.059,2024-05-28 16:25:23.005,-,2024-05-28 16:25:23.000,5.28,51.31188355,9.47332162, 272.3
2024-05-28 16:25:24.052,2024-05-28 16:25:24.069,2024-05-28 16:25:24.014,-,2024-05-28 16:25:24.000,5.43,51.3118863,9.47324324, 274.4
2024-05-28 16:25:25.057,2024-05-28 16:25:25.074,2024-05-28 16:25:25.019,-,2024-05-28 16:25:25.000,5.28,51.31189609,9.47317192, 285.3
2024-05-28 16:25:26.047,2024-05-28 16:25:26.063,2024-05-28 16:25:26.009,-,2024-05-28 16:25:26.000,5.04,51.31189932,9.47309727, 279.3
2024-05-28 16:25:27.036,2024-05-28 16:25:27.052,2024-05-28 16:25:26.998,-,2024-05-28 16:25:27.000,5.64,51.31189965,9.47301585, 267.2
2024-05-28 16:25:28.041,2024-05-28 16:25:28.057,2024-05-28 16:25:28.003,-,2024-05-28 16:25:28.000,4.51,51.31191708,9.47294696, 297.1
2024-05-28 16:25:29.046,2024-05-28 16:25:29.063,2024-05-28 16:25:29.008,-,2024-05-28 16:25:29.000,3.12,51.31194173,9.47290709, 323.4
2024-05-28 16:25:30.039,2024-05-28 16:25:30.056,2024-05-28 16:25:30.003,-,2024-05-28 16:25:30.000,2.92,51.31196642,9.47289091, 349.2
2024-05-28 16:25:31.043,2024-05-28 16:25:31.060,2024-05-28 16:25:31.006,-,2024-05-28 16:25:31.000,1.82,51.31198476,9.47287582, 335.8
2024-05-28 16:25:32.036,2024-05-28 16:25:32.052,2024-05-28 16:25:31.998,-,2024-05-28 16:25:32.000,0.77,51.31199172,9.47286918, 334.2
2024-05-28 16:25:33.034,2024-05-28 16:25:33.050,2024-05-28 16:25:32.996,-,2024-05-28 16:25:33.000,1.42,51.31199743,9.47285369, 310.0
2024-05-28 16:25:34.034,2024-05-28 16:25:34.050,2024-05-28 16:25:33.996,-,2024-05-28 16:25:34.000,1.2,51.31199706,9.47283591, 318.3
2024-05-28 16:25:35.043,2024-05-28 16:25:35.060,2024-05-28 16:25:35.006,-,2024-05-28 16:25:35.000,1.25,51.31199586,9.47281677, 274.4
2024-05-28 16:25:36.044,2024-05-28 16:25:36.061,2024-05-28 16:25:36.007,-,2024-05-28 16:25:36.000,2.04,51.31198217,9.47280832, 191.7
