Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 16:11:36.700,2024-05-28 16:11:36.710,-,-,roughness_medium
2024-05-28 16:12:23.237,2024-05-28 16:12:23.248,-,-,roughness_high
2024-05-28 16:13:13.953,2024-05-28 16:13:13.963,-,-,roughness_none
2024-05-28 16:13:23.792,2024-05-28 16:13:23.802,-,-,roughness_none
2024-05-28 16:14:11.072,2024-05-28 16:14:11.082,-,-,curb_low
2024-05-28 16:14:13.883,2024-05-28 16:14:13.893,-,-,roughness_none
2024-05-28 16:14:22.476,2024-05-28 16:14:22.486,-,-,roughness_low
2024-05-28 16:14:36.677,2024-05-28 16:14:36.687,-,-,curb_low
2024-05-28 16:14:38.524,2024-05-28 16:14:38.534,-,-,roughness_high
2024-05-28 16:14:49.528,2024-05-28 16:14:49.538,-,-,roughness_low
2024-05-28 16:14:54.570,2024-05-28 16:14:54.580,-,-,curb_low
2024-05-28 16:14:59.527,2024-05-28 16:14:59.537,-,-,roughness_none
2024-05-28 16:15:12.683,2024-05-28 16:15:12.693,-,-,roughness_none
2024-05-28 16:15:39.603,2024-05-28 16:15:39.613,-,-,roughness_none
2024-05-28 16:15:58.651,2024-05-28 16:15:58.661,-,-,roughness_low
2024-05-28 16:16:09.695,2024-05-28 16:16:09.705,-,-,curb_none
2024-05-28 16:16:10.140,2024-05-28 16:16:10.150,-,-,curb_low
2024-05-28 16:16:13.388,2024-05-28 16:16:13.399,-,-,curb_low
2024-05-28 16:16:14.338,2024-05-28 16:16:14.348,-,-,roughness_low
2024-05-28 16:16:17.140,2024-05-28 16:16:17.150,-,-,curb_low
2024-05-28 16:16:25.022,2024-05-28 16:16:25.032,-,-,curb_low
2024-05-28 16:16:30.214,2024-05-28 16:16:30.225,-,-,curb_low
2024-05-28 16:16:36.534,2024-05-28 16:16:36.544,-,-,curb_low
2024-05-28 16:16:39.533,2024-05-28 16:16:39.543,-,-,curb_low
2024-05-28 16:16:55.385,2024-05-28 16:16:55.396,-,-,curb_high
2024-05-28 16:17:06.765,2024-05-28 16:17:06.775,-,-,curb_low
2024-05-28 16:17:07.657,2024-05-28 16:17:07.667,-,-,curb_high
2024-05-28 16:17:10.980,2024-05-28 16:17:10.990,-,-,roughness_none
2024-05-28 16:17:19.219,2024-05-28 16:17:19.229,-,-,roughness_high
2024-05-28 16:17:21.516,2024-05-28 16:17:21.526,-,-,roughness_none
2024-05-28 16:17:50.627,2024-05-28 16:17:50.637,-,-,roughness_none
2024-05-28 16:18:03.240,2024-05-28 16:18:03.250,-,-,roughness_high
2024-05-28 16:18:17.567,2024-05-28 16:18:17.577,-,-,roughness_none
2024-05-28 16:19:01.649,2024-05-28 16:19:01.659,-,-,curb_low
2024-05-28 16:19:10.521,2024-05-28 16:19:10.531,-,-,roughness_none
2024-05-28 16:20:10.695,2024-05-28 16:20:10.705,-,-,roughness_high
2024-05-28 16:20:39.594,2024-05-28 16:20:39.604,-,-,roughness_high
2024-05-28 16:20:56.510,2024-05-28 16:20:56.520,-,-,roughness_medium
2024-05-28 16:21:32.495,2024-05-28 16:21:32.505,-,-,roughness_medium
