Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 15:20:46.395,2024-05-28 15:20:46.405,-,-,roughness_medium
2024-05-28 15:21:07.961,2024-05-28 15:21:07.971,-,-,roughness_medium
2024-05-28 15:22:09.920,2024-05-28 15:22:09.930,-,-,roughness_medium
2024-05-28 15:22:26.540,2024-05-28 15:22:26.550,-,-,roughness_medium
2024-05-28 15:22:53.442,2024-05-28 15:22:53.452,-,-,roughness_high
2024-05-28 15:23:09.645,2024-05-28 15:23:09.655,-,-,roughness_high
2024-05-28 15:23:34.678,2024-05-28 15:23:34.688,-,-,roughness_none
2024-05-28 15:24:11.620,2024-05-28 15:24:11.630,-,-,roughness_none
2024-05-28 15:24:30.569,2024-05-28 15:24:30.579,-,-,roughness_medium
2024-05-28 15:24:42.277,2024-05-28 15:24:42.287,-,-,roughness_low
2024-05-28 15:24:51.575,2024-05-28 15:24:51.585,-,-,curb_low
2024-05-28 15:24:55.769,2024-05-28 15:24:55.779,-,-,roughness_high
2024-05-28 15:25:07.860,2024-05-28 15:25:07.871,-,-,roughness_medium
2024-05-28 15:25:14.688,2024-05-28 15:25:14.698,-,-,curb_low
2024-05-28 15:25:17.959,2024-05-28 15:25:17.969,-,-,roughness_medium
2024-05-28 15:25:29.949,2024-05-28 15:25:29.959,-,-,roughness_none
2024-05-28 15:25:57.089,2024-05-28 15:25:57.099,-,-,roughness_none
2024-05-28 15:26:04.754,2024-05-28 15:26:04.764,-,-,roughness_none
2024-05-28 15:26:17.311,2024-05-28 15:26:17.321,-,-,roughness_low
2024-05-28 15:26:29.555,2024-05-28 15:26:29.565,-,-,curb_low
2024-05-28 15:26:37.638,2024-05-28 15:26:37.648,-,-,curb_low
2024-05-28 15:26:44.456,2024-05-28 15:26:44.467,-,-,roughness_low
2024-05-28 15:26:47.901,2024-05-28 15:26:47.911,-,-,curb_low
2024-05-28 15:26:51.831,2024-05-28 15:26:51.842,-,-,curb_low
2024-05-28 15:27:00.976,2024-05-28 15:27:00.986,-,-,curb_low
2024-05-28 15:27:14.381,2024-05-28 15:27:14.391,-,-,curb_high
2024-05-28 15:27:35.641,2024-05-28 15:27:35.651,-,-,roughness_none
2024-05-28 15:28:55.281,2024-05-28 15:28:55.291,-,-,roughness_high
2024-05-28 15:29:13.950,2024-05-28 15:29:13.960,-,-,roughness_none
2024-05-28 15:29:51.010,2024-05-28 15:29:51.020,-,-,roughness_none
2024-05-28 15:30:24.516,2024-05-28 15:30:24.526,-,-,roughness_high
2024-05-28 15:30:30.053,2024-05-28 15:30:30.063,-,-,roughness_none
2024-05-28 15:30:52.574,2024-05-28 15:30:52.584,-,-,roughness_low
2024-05-28 15:30:58.389,2024-05-28 15:30:58.399,-,-,curb_high
2024-05-28 15:31:19.632,2024-05-28 15:31:19.642,-,-,curb_low
2024-05-28 15:31:27.087,2024-05-28 15:31:27.097,-,-,curb_low
2024-05-28 15:31:36.915,2024-05-28 15:31:36.925,-,-,curb_low
2024-05-28 15:31:45.392,2024-05-28 15:31:45.402,-,-,curb_low
2024-05-28 15:31:51.237,2024-05-28 15:31:51.247,-,-,roughness_low
2024-05-28 15:31:56.502,2024-05-28 15:31:56.512,-,-,curb_low
2024-05-28 15:32:04.309,2024-05-28 15:32:04.319,-,-,roughness_none
2024-05-28 15:32:27.249,2024-05-28 15:32:27.259,-,-,roughness_none
2024-05-28 15:32:51.399,2024-05-28 15:32:51.409,-,-,roughness_low
2024-05-28 15:33:05.008,2024-05-28 15:33:05.018,-,-,curb_low
2024-05-28 15:33:12.007,2024-05-28 15:33:12.017,-,-,roughness_high
2024-05-28 15:33:25.279,2024-05-28 15:33:25.289,-,-,curb_low
2024-05-28 15:33:33.289,2024-05-28 15:33:33.299,-,-,roughness_low
2024-05-28 15:33:41.335,2024-05-28 15:33:41.345,-,-,curb_none
2024-05-28 15:33:49.386,2024-05-28 15:33:49.396,-,-,curb_low
2024-05-28 15:33:53.460,2024-05-28 15:33:53.470,-,-,roughness_none
2024-05-28 15:34:51.793,2024-05-28 15:34:51.803,-,-,roughness_high
2024-05-28 15:35:38.631,2024-05-28 15:35:38.642,-,-,roughness_medium
