Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 15:56:30.463,2024-05-28 15:56:30.473,-,-,roughness_medium
2024-05-28 15:57:02.203,2024-05-28 15:57:02.213,-,-,roughness_medium
2024-05-28 15:57:20.560,2024-05-28 15:57:20.570,-,-,roughness_high
2024-05-28 15:58:12.531,2024-05-28 15:58:12.541,-,-,roughness_none
2024-05-28 15:58:40.644,2024-05-28 15:58:40.654,-,-,roughness_none
2024-05-28 15:59:02.567,2024-05-28 15:59:02.577,-,-,roughness_medium
2024-05-28 15:59:05.611,2024-05-28 15:59:05.621,-,-,roughness_low
2024-05-28 15:59:21.911,2024-05-28 15:59:21.921,-,-,curb_low
2024-05-28 15:59:23.126,2024-05-28 15:59:23.136,-,-,roughness_high
2024-05-28 15:59:32.281,2024-05-28 15:59:32.292,-,-,roughness_low
2024-05-28 15:59:34.482,2024-05-28 15:59:34.492,-,-,curb_low
2024-05-28 15:59:49.616,2024-05-28 15:59:49.626,-,-,roughness_none
2024-05-28 16:00:15.474,2024-05-28 16:00:15.484,-,-,roughness_none
2024-05-28 16:00:34.064,2024-05-28 16:00:34.074,-,-,curb_low
2024-05-28 16:00:36.288,2024-05-28 16:00:36.298,-,-,roughness_low
2024-05-28 16:00:42.796,2024-05-28 16:00:42.807,-,-,curb_low
2024-05-28 16:00:47.511,2024-05-28 16:00:47.521,-,-,curb_low
2024-05-28 16:00:52.964,2024-05-28 16:00:52.974,-,-,curb_low
2024-05-28 16:00:58.233,2024-05-28 16:00:58.243,-,-,curb_low
2024-05-28 16:01:06.153,2024-05-28 16:01:06.163,-,-,curb_low
2024-05-28 16:01:10.748,2024-05-28 16:01:10.758,-,-,curb_low
2024-05-28 16:01:23.196,2024-05-28 16:01:23.207,-,-,curb_high
2024-05-28 16:01:26.196,2024-05-28 16:01:26.206,-,-,roughness_medium
2024-05-28 16:01:26.765,2024-05-28 16:01:26.775,-,-,roughness_low
2024-05-28 16:01:31.771,2024-05-28 16:01:31.781,-,-,curb_high
2024-05-28 16:01:40.699,2024-05-28 16:01:40.709,-,-,curb_low
2024-05-28 16:01:42.578,2024-05-28 16:01:42.588,-,-,roughness_none
2024-05-28 16:01:48.461,2024-05-28 16:01:48.471,-,-,roughness_medium
2024-05-28 16:01:48.691,2024-05-28 16:01:48.701,-,-,roughness_medium
2024-05-28 16:01:49.127,2024-05-28 16:01:49.138,-,-,roughness_high
2024-05-28 16:01:53.044,2024-05-28 16:01:53.054,-,-,curb_low
2024-05-28 16:01:54.681,2024-05-28 16:01:54.691,-,-,roughness_none
2024-05-28 16:02:21.589,2024-05-28 16:02:21.600,-,-,roughness_none
2024-05-28 16:02:31.960,2024-05-28 16:02:31.970,-,-,roughness_high
2024-05-28 16:02:48.631,2024-05-28 16:02:48.642,-,-,roughness_none
2024-05-28 16:03:00.161,2024-05-28 16:03:00.171,-,-,roughness_high
2024-05-28 16:03:20.584,2024-05-28 16:03:20.594,-,-,roughness_none
2024-05-28 16:03:40.023,2024-05-28 16:03:40.033,-,-,roughness_none
2024-05-28 16:04:15.942,2024-05-28 16:04:15.952,-,-,roughness_low
2024-05-28 16:04:23.500,2024-05-28 16:04:23.510,-,-,curb_high
2024-05-28 16:04:31.014,2024-05-28 16:04:31.024,-,-,curb_high
2024-05-28 16:04:45.611,2024-05-28 16:04:45.621,-,-,curb_low
2024-05-28 16:04:50.862,2024-05-28 16:04:50.873,-,-,curb_low
2024-05-28 16:05:00.792,2024-05-28 16:05:00.803,-,-,curb_low
2024-05-28 16:05:09.400,2024-05-28 16:05:09.411,-,-,curb_low
2024-05-28 16:05:16.340,2024-05-28 16:05:16.350,-,-,roughness_none
2024-05-28 16:05:39.307,2024-05-28 16:05:39.318,-,-,roughness_none
2024-05-28 16:06:06.713,2024-05-28 16:06:06.723,-,-,roughness_low
2024-05-28 16:06:23.691,2024-05-28 16:06:23.701,-,-,curb_low
2024-05-28 16:06:36.588,2024-05-28 16:06:36.598,-,-,roughness_high
2024-05-28 16:06:42.381,2024-05-28 16:06:42.391,-,-,curb_low
2024-05-28 16:06:45.342,2024-05-28 16:06:45.352,-,-,roughness_low
2024-05-28 16:07:01.635,2024-05-28 16:07:01.645,-,-,roughness_none
2024-05-28 16:07:03.382,2024-05-28 16:07:03.392,-,-,curb_low
2024-05-28 16:07:25.497,2024-05-28 16:07:25.507,-,-,roughness_none
2024-05-28 16:08:06.067,2024-05-28 16:08:06.077,-,-,roughness_high
2024-05-28 16:08:53.928,2024-05-28 16:08:53.938,-,-,roughness_medium
