Date,NTP,GNSS-Time,Serial-Time,Label
2024-05-28 15:38:47.173,2024-05-28 15:38:47.183,-,-,roughness_medium
2024-05-28 15:39:25.998,2024-05-28 15:39:26.008,-,-,roughness_medium
2024-05-28 15:39:53.105,2024-05-28 15:39:53.115,-,-,roughness_high
2024-05-28 15:40:48.188,2024-05-28 15:40:48.198,-,-,roughness_none
2024-05-28 15:41:44.291,2024-05-28 15:41:44.301,-,-,curb_low
2024-05-28 15:41:57.982,2024-05-28 15:41:57.992,-,-,roughness_low
2024-05-28 15:42:10.813,2024-05-28 15:42:10.823,-,-,curb_low
2024-05-28 15:42:13.215,2024-05-28 15:42:13.225,-,-,roughness_high
2024-05-28 15:42:26.661,2024-05-28 15:42:26.671,-,-,roughness_low
2024-05-28 15:42:30.309,2024-05-28 15:42:30.319,-,-,curb_low
2024-05-28 15:42:45.542,2024-05-28 15:42:45.552,-,-,roughness_none
2024-05-28 15:43:15.400,2024-05-28 15:43:15.410,-,-,roughness_none
2024-05-28 15:43:32.353,2024-05-28 15:43:32.364,-,-,roughness_low
2024-05-28 15:43:36.648,2024-05-28 15:43:36.658,-,-,curb_low
2024-05-28 15:43:39.606,2024-05-28 15:43:39.616,-,-,curb_low
2024-05-28 15:43:45.476,2024-05-28 15:43:45.487,-,-,curb_low
2024-05-28 15:43:55.768,2024-05-28 15:43:55.778,-,-,curb_low
2024-05-28 15:44:05.702,2024-05-28 15:44:05.713,-,-,roughness_low
2024-05-28 15:44:31.260,2024-05-28 15:44:31.270,-,-,roughness_none
2024-05-28 15:45:03.020,2024-05-28 15:45:03.030,-,-,roughness_none
2024-05-28 15:45:27.422,2024-05-28 15:45:27.432,-,-,roughness_high
2024-05-28 15:45:46.588,2024-05-28 15:45:46.598,-,-,roughness_none
2024-05-28 15:46:05.665,2024-05-28 15:46:05.675,-,-,roughness_none
2024-05-28 15:46:47.021,2024-05-28 15:46:47.031,-,-,roughness_high
2024-05-28 15:46:49.005,2024-05-28 15:46:49.015,-,-,roughness_none
2024-05-28 15:46:57.293,2024-05-28 15:46:57.303,-,-,roughness_low
2024-05-28 15:47:20.183,2024-05-28 15:47:20.193,-,-,curb_low
2024-05-28 15:47:21.332,2024-05-28 15:47:21.342,-,-,curb_low
2024-05-28 15:47:23.189,2024-05-28 15:47:23.199,-,-,curb_low
2024-05-28 15:47:28.367,2024-05-28 15:47:28.377,-,-,curb_low
2024-05-28 15:47:36.136,2024-05-28 15:47:36.146,-,-,curb_low
2024-05-28 15:47:41.379,2024-05-28 15:47:41.389,-,-,curb_low
2024-05-28 15:48:05.607,2024-05-28 15:48:05.617,-,-,roughness_none
2024-05-28 15:48:52.943,2024-05-28 15:48:52.954,-,-,roughness_low
2024-05-28 15:49:04.461,2024-05-28 15:49:04.472,-,-,curb_low
2024-05-28 15:49:08.124,2024-05-28 15:49:08.134,-,-,roughness_low
2024-05-28 15:49:11.759,2024-05-28 15:49:11.769,-,-,roughness_high
2024-05-28 15:49:20.441,2024-05-28 15:49:20.451,-,-,curb_low
2024-05-28 15:49:30.364,2024-05-28 15:49:30.374,-,-,roughness_low
2024-05-28 15:49:37.701,2024-05-28 15:49:37.711,-,-,roughness_none
2024-05-28 15:49:39.988,2024-05-28 15:49:39.998,-,-,curb_low
2024-05-28 15:49:51.046,2024-05-28 15:49:51.056,-,-,roughness_none
2024-05-28 15:50:48.267,2024-05-28 15:50:48.277,-,-,roughness_high
2024-05-28 15:51:28.550,2024-05-28 15:51:28.560,-,-,roughness_medium
2024-05-28 15:52:14.404,2024-05-28 15:52:14.414,-,-,roughness_medium
